taxon max_age min_age
Strophomena 15.8 14.45
Keilamena 11.25 10.2
Tetraphalerella 13.25 12.05
Actinomena 15.3 14.25
Holtedahlina 8.8 8.2
Longvillia 12.85 8.85
Leigerina 5.75 5.45
Pseudostrophomena 7.5 6.65
Furcitella 10.2 8.95
Bekkerina 17.65 15.8
Bellimurina 23 21
Biparetis 1.25 0
Dactylogonia 17.5 15.3
Geniculina 7.5 6.65
Katastrophomena 5.65 5.6
Chunanomena 2.4 1.25
Luhaia 5.45 4
Molongcola 8.2 7.25
Murinella 15.15 14.25
Oepikina 17.15 15.3
Quondongia 8.2 7.25
Crassoseptaria 7.5 6.65
Haljalanites 11.65 10.85
Colaptomena 17.5 15.8
Kjerulfina 12.5 8.8
Rafinesquina 17.65 15.8
Megamyonia 6.35 6.05
Rhipidomena 15.15 13.25
Kjaerina 12.85 12.45
Septomena 17.65 16.35
Leptaena 14.25 13.6
Kiaeromena 14.25 13.6
Bekkeromena 6.35 6
Glyptomena 17.5 15.8
Paromalomena 8.2 7.25
Platymena 17.65 17.45
Resupinsculpta 8.2 7.25
